trait_id	source_sheet	trait_name	trait_type_guess	n_non_missing	missing_rate	n_unique_values	category_distribution	descriptor_found	descriptor_source	trait_definition	measurement_method	scale_or_code_meaning	biological_interpretability	coding_risk	recommended_action	manual_review_required	notes
data_lt_2007__spkf	Data < 2007	SPKF	categorical	2094	0.000954	5	3=FERTILE (75-90%):1474(0.7039); 1=HIGHLY FERTILE (>90%):311(0.1485); 5=PARTLY STERILE (50-74%):267(0.1275); 7=HIGHLY STERILE (<50% TO TRACE):41(0.0196); 9=COMPLETELY STERILE (0%):1(0.0005)	true	<2007 Dictionary	Spikelet fertility	3K phenotype descriptor code in phenotype XLSX dictionary	1=HIGHLY FERTILE (>90%); 3=FERTILE (75-90%); 5=PARTLY STERILE (50-74%); 7=HIGHLY STERILE (<50% TO TRACE); 9=COMPLETELY STERILE (0%); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__fla_repro	Data < 2007	FLA_REPRO	categorical	2092	0.001908	4	5=HORIZONTAL:1035(0.4947); 3=INTERMEDIATE:593(0.2835); 1=ERECT:304(0.1453); 7=DESCENDING:160(0.0765)	true	<2007 Dictionary	Flag leaf angle at reproductive - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=ERECT; 2=ERECT; 3=INTERMEDIATE; 4=INTERMEDIATE; 5=HORIZONTAL; 6=HORIZONTAL; 7=DESCENDING; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cult_code_repro	Data < 2007	CULT_CODE_REPRO	categorical	2075	0.010019	7	5=111-130 CM:540(0.2602); 6=131-150 CM:496(0.239); 4=91-110 CM:429(0.2067); 3=71-90 CM:228(0.1099); 7=> 150 CM:212(0.1022); 2=51-70 CM:148(0.0713); 1=< 51 CM:22(0.0106)	true	<2007 Dictionary	Culm length at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=< 51 CM; 2=51-70 CM; 3=71-90 CM; 4=91-110 CM; 5=111-130 CM; 6=131-150 CM; 7=> 150 CM; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__llt_code	Data < 2007	LLT_CODE	categorical	2076	0.009542	5	3=INTERMEDIATE (41-60 CM):1091(0.5255); 4=LONG (61-80 CM):690(0.3324); 2=SHORT (21-40 CM):265(0.1276); 5=EXTRA LONG (>80 CM):26(0.0125); 1=VERY SHORT (<21 CM):4(0.0019)	true	<2007 Dictionary	Leaf length - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=VERY SHORT (<21 CM); 2=SHORT (21-40 CM); 3=INTERMEDIATE (41-60 CM); 4=LONG (61-80 CM); 5=EXTRA LONG (>80 CM); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__pex_repro	Data < 2007	PEX_REPRO	categorical	2095	0.000477	8	1=WELL EXSERTED (1):1250(0.5967); 3=MODERATELY WELL EXSERTED (3):433(0.2067); 5=JUST EXSERTED (5):188(0.0897); 7=PARTLY EXSERTED (7):170(0.0811); 9=ENCLOSED:28(0.0134); 4=MODERATELY WELL EXSERTED (4):12(0.0057); 6=JUST EXSERTED (6):10(0.0048); 2=WELL EXSERTED (2):4(0.0019)	true	<2007 Dictionary	Panicle exsertion at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=WELL EXSERTED (1); 2=WELL EXSERTED (2); 3=MODERATELY WELL EXSERTED (3); 4=MODERATELY WELL EXSERTED (4); 5=JUST EXSERTED (5); 6=JUST EXSERTED (6); 7=PARTLY EXSERTED (7); 8=PARTLY EXSERTED (8); 9=ENCLOSED; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__lsen	Data < 2007	LSEN	categorical	2093	0.001431	7	1=LATE AND SLOW (1):970(0.4634); 5=INTERMEDIATE (5):412(0.1968); 3=LATE AND SLOW (3):392(0.1873); 7=EARLY AND FAST (7):162(0.0774); 9=EARLY AND FAST (9):140(0.0669); 2=LATE AND SLOW (2):14(0.0067); 4=INTERMEDIATE (4):3(0.0014)	true	<2007 Dictionary	Leaf senescence	3K phenotype descriptor code in phenotype XLSX dictionary	1=LATE AND SLOW (1); 2=LATE AND SLOW (2); 3=LATE AND SLOW (3); 4=INTERMEDIATE (4); 5=INTERMEDIATE (5); 6=INTERMEDIATE (6); 7=EARLY AND FAST (7); 8=EARLY AND FAST (8); 9=EARLY AND FAST (9); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__pth	Data < 2007	PTH	categorical	2092	0.001908	9	5=INTERMEDIATE (5):840(0.4015); 9=EASY (9):735(0.3513); 1=DIFFICULT (1):217(0.1037); 7=EASY (7):110(0.0526); 3=DIFFICULT (3):65(0.0311); 6=INTERMEDIATE (6):43(0.0206); 2=DIFFICULT (2):36(0.0172); 8=EASY (8):27(0.0129); 4=INTERMEDIATE (4):19(0.0091)	true	<2007 Dictionary	Panicle threshability	3K phenotype descriptor code in phenotype XLSX dictionary	1=DIFFICULT (1); 2=DIFFICULT (2); 3=DIFFICULT (3); 4=INTERMEDIATE (4); 5=INTERMEDIATE (5); 6=INTERMEDIATE (6); 7=EASY (7); 8=EASY (8); 9=EASY (9); 999=MIXTURE	medium	medium	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cuan_repro	Data < 2007	CUAN_REPRO	categorical	2094	0.000954	8	3=INTERMEDIATE (3):1109(0.5296); 1=ERECT (1):566(0.2703); 5=OPEN (5):205(0.0979); 7=SPREADING (7):123(0.0587); 2=ERECT (2):67(0.032); 4=INTERMEDIATE (4):22(0.0105); 9=PROCUMBENT:1(0.0005); 6=OPEN (6):1(0.0005)	true	<2007 Dictionary	Culm angle at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=ERECT (1); 2=ERECT (2); 3=INTERMEDIATE (3); 4=INTERMEDIATE (4); 5=OPEN (5); 6=OPEN (6); 7=SPREADING (7); 8=SPREADING (8); 9=PROCUMBENT; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cudi_code_repro	Data < 2007	CUDI_CODE_REPRO	binary	2093	0.001431	2	2=THICK (>=5MM):1361(0.6503); 1=THIN (<5MM):732(0.3497)	true	<2007 Dictionary	Culm diam. of basal internode at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=THIN (<5MM); 2=THICK (>=5MM); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__apco_rev_repro	Data < 2007	APCO_REV_REPRO	categorical	2095	0.000477	9	020=STRAW:880(0.42); 080=PURPLE:548(0.2616); 010=WHITE:467(0.2229); 070=RED:69(0.0329); 087=PURPLE APEX:62(0.0296); 052=BROWN (TAWNY):48(0.0229); 071=RED APEX:12(0.0057); 100=BLACK:5(0.0024); 999=MIXTURE:4(0.0019)	true	<2007 Dictionary	Apiculus color at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	010=WHITE; 011=WHITISH; 020=STRAW; 052=BROWN (TAWNY); 060=GREEN; 070=RED; 071=RED APEX; 080=PURPLE; 087=PURPLE APEX; 100=BLACK; 999=MIXTURE	medium	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__auco_rev_veg	Data < 2007	AUCO_REV_VEG	categorical	2095	0.000477	3	061=LIGHT GREEN:1853(0.8845); 080=PURPLE:239(0.1141); 999=MIXTURE:3(0.0014)	true	<2007 Dictionary	Auricle color at vegetative	3K phenotype descriptor code in phenotype XLSX dictionary	000=ABSENT; 010=WHITE; 060=GREEN; 061=LIGHT GREEN; 062=YELLOWISH GREEN; 080=PURPLE; 083=PURPLE SHADE; 999=MIXTURE	medium	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__blco_rev_veg	Data < 2007	BLCO_REV_VEG	categorical	2096	0	8	060=GREEN:1315(0.6274); 063=DARK GREEN:554(0.2643); 085=PURPLE MARGINS:96(0.0458); 061=LIGHT GREEN:86(0.041); 089=PURPLE BLOTCH:25(0.0119); 086=PURPLE TIPS:16(0.0076); 080=PURPLE:3(0.0014); 999=MIXTURE:1(0.0005)	true	<2007 Dictionary	Blade color at vegetative	3K phenotype descriptor code in phenotype XLSX dictionary	060=GREEN; 061=LIGHT GREEN; 063=DARK GREEN; 080=PURPLE; 085=PURPLE MARGINS; 086=PURPLE TIPS; 089=PURPLE BLOTCH; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__blpub_veg	Data < 2007	BLPUB_VEG	categorical	2095	0.000477	3	3=PUBESCENT:1950(0.9308); 1=GLABROUS:89(0.0425); 2=INTERMEDIATE:56(0.0267)	true	<2007 Dictionary	Blade pubescence at vegetative	3K phenotype descriptor code in phenotype XLSX dictionary	1=GLABROUS; 2=INTERMEDIATE; 3=PUBESCENT; 999=MIXTURE	low	medium	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__blsco_rev_veg	Data < 2007	BLSCO_REV_VEG	categorical	2095	0.000477	5	060=GREEN:1771(0.8453); 084=PURPLE LINES:192(0.0916); 080=PURPLE:86(0.0411); 081=LIGHT PURPLE:45(0.0215); 999=MIXTURE:1(0.0005)	true	<2007 Dictionary	Basal leafsheath color at vegetative	3K phenotype descriptor code in phenotype XLSX dictionary	060=GREEN; 080=PURPLE; 081=LIGHT PURPLE; 084=PURPLE LINES; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__cco_rev_veg	Data < 2007	CCO_REV_VEG	categorical	2096	0	4	061=LIGHT GREEN:1125(0.5367); 060=GREEN:742(0.354); 080=PURPLE:226(0.1078); 999=MIXTURE:3(0.0014)	true	<2007 Dictionary	Collar color at vegetative - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	000=COLLARLESS; 060=GREEN; 061=LIGHT GREEN; 080=PURPLE; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__cuno_code_repro	Data < 2007	CUNO_CODE_REPRO	categorical	2076	0.009542	3	2=MEDIUM (10-20 CULMS):1605(0.7731); 3=PROLIFIC (>20 CULMS):359(0.1729); 1=SPARSE (<10 CULMS):112(0.0539)	true	<2007 Dictionary	Culm number (code) at reproductive - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=SPARSE (<10 CULMS); 2=MEDIUM (10-20 CULMS); 3=PROLIFIC (>20 CULMS); 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__cust_repro	Data < 2007	CUST_REPRO	categorical	2094	0.000954	8	3=MODERATELY STRONG (MOST PLANTS LEANING):672(0.3209); 1=STRONG (NO LODGING):645(0.308); 7=WEAK (MOST PLANTS NEARLY FLAT):296(0.1414); 9=VERY WEAK (ALL PLANTS FLAT):262(0.1251); 5=INTERMEDIATE (MOST PLANTS MODERATELY LODGED):199(0.095); 4:14(0.0067); 2:4(0.0019); 6:2(0.001)	true	<2007 Dictionary	Culm strength at reproductive - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=STRONG (NO LODGING); 3=MODERATELY STRONG (MOST PLANTS LEANING); 5=INTERMEDIATE (MOST PLANTS MODERATELY LODGED); 7=WEAK (MOST PLANTS NEARLY FLAT); 9=VERY WEAK (ALL PLANTS FLAT)	high	high	defer_until_manual_review	true	code_meaning_incomplete; 编码型 trait；不能当作连续生物量
data_lt_2007__endo	Data < 2007	ENDO	categorical	2091	0.002385	3	1=NON-GLUTINOUS (NON-WAXY):1950(0.9326); 2=GLUTINOUS (WAXY):140(0.067); 3=INDETERMINATE:1(0.0005)	true	<2007 Dictionary	Endosperm type	3K phenotype descriptor code in phenotype XLSX dictionary	1=NON-GLUTINOUS (NON-WAXY); 2=GLUTINOUS (WAXY); 3=INDETERMINATE; 999=MIXTURE	low	medium	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__inco_rev_repro	Data < 2007	INCO_REV_REPRO	categorical	2095	0.000477	4	060=GREEN:1359(0.6487); 041=LIGHT GOLD:544(0.2597); 080=PURPLE:100(0.0477); 084=PURPLE LINES:92(0.0439)	true	<2007 Dictionary	Internode color at reproductive - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	041=LIGHT GOLD; 060=GREEN; 062=YELLOWISH GREEN; 080=PURPLE; 083=PURPLE SHADE; 084=PURPLE LINES; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__la	Data < 2007	LA	categorical	1382	0.340649	10	3=INTERMEDIATE (3):384(0.2779); 5=HORIZONTAL (5):378(0.2735); 1=ERECT (1):224(0.1621); 2=ERECT (2):134(0.097); 4=INTERMEDIATE (4):119(0.0861); 9=DROOPING (9):60(0.0434); 7=DROOPING (7):53(0.0384); 6=HORIZONTAL (6):23(0.0166); 8=DROOPING (8):6(0.0043); 999=MIXTURE:1(0.0007)	true	<2007 Dictionary	Leaf angle - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=ERECT (1); 2=ERECT (2); 3=INTERMEDIATE (3); 4=INTERMEDIATE (4); 5=HORIZONTAL (5); 6=HORIZONTAL (6); 7=DROOPING (7); 8=DROOPING (8); 9=DROOPING (9); 999=MIXTURE	medium	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__ligco_rev_veg	Data < 2007	LIGCO_REV_VEG	categorical	2096	0	4	011=WHITISH:1950(0.9303); 084=PURPLE LINES:76(0.0363); 080=PURPLE:68(0.0324); 999=MIXTURE:2(0.001)	true	<2007 Dictionary	Ligule color at vegetative - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	000=LIGULELESS; 011=WHITISH; 080=PURPLE; 084=PURPLE LINES; 999=MIXTURE	low	medium	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__ligsh	Data < 2007	LIGSH	categorical	1380	0.341603	3	2=2-CLEFT:1375(0.9964); 3=TRUNCATE:4(0.0029); 1=ACUTE TO ACUMINATE:1(0.0007)	true	<2007 Dictionary	Ligule shape	3K phenotype descriptor code in phenotype XLSX dictionary	0=ABSENT; 1=ACUTE TO ACUMINATE; 2=2-CLEFT; 3=TRUNCATE; 999=MIXTURE	low	high	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__lpco_rev_post	Data < 2007	LPCO_REV_POST	categorical	2094	0.000954	11	020=STRAW:1162(0.5549); 054=BROWN FURROWS:284(0.1356); 042=GOLD AND GOLD FURROWS:249(0.1189); 053=BROWN SPOTS:180(0.086); 100=BLACK:50(0.0239); 090=PURPLE SPOTS:46(0.022); 052=BROWN (TAWNY):39(0.0186); 091=PURPLE FURROWS:29(0.0138); 080=PURPLE:28(0.0134); 082=REDDISH TO LIGHT PURPLE:25(0.0119); 999=MIXTURE:2(0.001)	true	<2007 Dictionary	Lemma and palea color at post-harvest	3K phenotype descriptor code in phenotype XLSX dictionary	010=WHITE; 020=STRAW; 042=GOLD AND GOLD FURROWS; 052=BROWN (TAWNY); 053=BROWN SPOTS; 054=BROWN FURROWS; 070=RED; 080=PURPLE; 082=REDDISH TO LIGHT PURPLE; 090=PURPLE SPOTS; 091=PURPLE FURROWS; 100=BLACK; 102=BLACK SPOTS; 999=MIXTURE	low	high	defer_until_manual_review	true	too_many_categories; 编码型 trait；不能当作连续生物量
data_lt_2007__lppub	Data < 2007	LPPUB	categorical	1381	0.341126	6	4=SHORT HAIRS:766(0.5547); 2=HAIRS ON LEMMA KEEL:261(0.189); 3=HAIRS ON UPPER PORTION:129(0.0934); 5=LONG HAIRS (VELVETY):122(0.0883); 1=GLABROUS:102(0.0739); 999=MIXTURE:1(0.0007)	true	<2007 Dictionary	Lemma and palea pubescence	3K phenotype descriptor code in phenotype XLSX dictionary	1=GLABROUS; 2=HAIRS ON LEMMA KEEL; 3=HAIRS ON UPPER PORTION; 4=SHORT HAIRS; 5=LONG HAIRS (VELVETY); 999=MIXTURE	high	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__noco_rev	Data < 2007	NOCO_REV	categorical	589	0.718989	4	060=GREEN:566(0.961); 081=LIGHT PURPLE:14(0.0238); 080=PURPLE:8(0.0136); 999=MIXTURE:1(0.0017)	true	<2007 Dictionary	Node color	3K phenotype descriptor code in phenotype XLSX dictionary	041=LIGHT GOLD; 060=GREEN; 080=PURPLE; 081=LIGHT PURPLE; 999=MIXTURE	low	high	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__pa_repro	Data < 2007	PA_REPRO	binary	1381	0.341126	2	2=DROOPY:1370(0.992); 1=STRAIGHT:11(0.008)	true	<2007 Dictionary	Panicle axis at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=STRAIGHT; 2=DROOPY; 999=MIXTURE	low	high	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__plt_code_post	Data < 2007	PLT_CODE_POST	categorical	2071	0.011927	4	3=MEDIUM (21-30 CM):1671(0.8069); 2=SHORT (11-20 CM):233(0.1125); 4=LONG (31-40 CM):166(0.0802); 1=VERY SHORT (<11 CM):1(0.0005)	true	<2007 Dictionary	Panicle length at post-harvest	3K phenotype descriptor code in phenotype XLSX dictionary	1=VERY SHORT (<11 CM); 2=SHORT (11-20 CM); 3=MEDIUM (21-30 CM); 4=LONG (31-40 CM); 5=EXTRA LONG (>40 CM); 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__psh	Data < 2007	PSH	categorical	1380	0.341603	3	1=VERY LOW (< 1%):1159(0.8399); 3=LOW (1-5%):179(0.1297); 5=MODERATE (6-25%):42(0.0304)	true	<2007 Dictionary	Panicle shattering	3K phenotype descriptor code in phenotype XLSX dictionary	1=VERY LOW (< 1%); 3=LOW (1-5%); 5=MODERATE (6-25%); 7=MODERATELY HIGH (26-50%); 9=HIGH (>50%); 999=MIXTURE	high	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__pty	Data < 2007	PTY	categorical	2093	0.001431	10	5=INTERMEDIATE (5):1246(0.5953); 1=COMPACT (1):299(0.1429); 9=OPEN (9):245(0.1171); 3=COMPACT (3):112(0.0535); 7=OPEN (7):105(0.0502); 4=INTERMEDIATE (4):36(0.0172); 6=INTERMEDIATE (6):27(0.0129); 2=COMPACT (2):13(0.0062); 8=OPEN (8):9(0.0043); 999=MIXTURE:1(0.0005)	true	<2007 Dictionary	Panicle type	3K phenotype descriptor code in phenotype XLSX dictionary	1=COMPACT (1); 2=COMPACT (2); 3=COMPACT (3); 4=INTERMEDIATE (4); 5=INTERMEDIATE (5); 6=INTERMEDIATE (6); 7=OPEN (7); 8=OPEN (8); 9=OPEN (9); 999=MIXTURE	medium	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__scco_rev	Data < 2007	SCCO_REV	categorical	2092	0.001908	8	010=WHITE:1650(0.7887); 070=RED:391(0.1869); 080=PURPLE:19(0.0091); 051=LIGHT BROWN:14(0.0067); 055=SPECKLED BROWN:9(0.0043); 999=MIXTURE:5(0.0024); 050=BROWN:3(0.0014); 088=VARIABLE PURPLE:1(0.0005)	true	<2007 Dictionary	Seed coat color	3K phenotype descriptor code in phenotype XLSX dictionary	010=WHITE; 050=BROWN; 051=LIGHT BROWN; 055=SPECKLED BROWN; 070=RED; 080=PURPLE; 088=VARIABLE PURPLE; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__sdht_code	Data < 2007	SDHT_CODE	categorical	2074	0.010496	3	2=INTERMEDIATE (30-59 CM):1538(0.7416); 1=SHORT (<30 CM):419(0.202); 3=TALL (>59 CM):117(0.0564)	true	<2007 Dictionary	Seedling height	3K phenotype descriptor code in phenotype XLSX dictionary	1=SHORT (<30 CM); 2=INTERMEDIATE (30-59 CM); 3=TALL (>59 CM); 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__second_br_repro	Data < 2007	SECOND_BR_REPRO	categorical	1377	0.343034	3	1=LIGHT:1337(0.971); 2=HEAVY:33(0.024); 3=CLUSTERING:7(0.0051)	true	<2007 Dictionary	Secondary branching at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	0=ABSENT; 1=LIGHT; 2=HEAVY; 3=CLUSTERING; 999=MIXTURE	low	high	defer_until_manual_review	true	class_imbalance_high; 编码型 trait；不能当作连续生物量
data_lt_2007__slco_rev	Data < 2007	SLCO_REV	categorical	1904	0.091603	4	020=STRAW:1657(0.8703); 080=PURPLE:179(0.094); 040=GOLD:36(0.0189); 070=RED:32(0.0168)	true	<2007 Dictionary	Sterile lemma color	3K phenotype descriptor code in phenotype XLSX dictionary	011=WHITISH; 020=STRAW; 040=GOLD; 061=LIGHT GREEN; 070=RED; 080=PURPLE; 090=PURPLE SPOTS; 999=MIXTURE	medium	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
data_lt_2007__sllt_code	Data < 2007	SLLT_CODE	categorical	2091	0.002385	3	3=MEDIUM (1.6-2.5 MM):1696(0.8111); 1=SHORT (<= 1.5 MM):229(0.1095); 5=LONG (>2.5 MM BUT SHORTER THAN THE LEMMA):166(0.0794)	true	<2007 Dictionary	Sterile lemma length	3K phenotype descriptor code in phenotype XLSX dictionary	0=ABSENT; 1=SHORT (<= 1.5 MM); 3=MEDIUM (1.6-2.5 MM); 5=LONG (>2.5 MM BUT SHORTER THAN THE LEMMA); 7=EXTRA LONG (>= THE LEMMA); 9=ASYMMETRICAL; 999=MIXTURE	high	low	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
